step,nq_coocs,avg_edge_attention,samples
1,1,0.10585535927303434,665998
2,1,0.1868050318445821,665998
3,1,0.22730966005544634,665998
4,1,0.07799229520701872,665998
5,1,0.21889453876055345,665998
1,2,0.11108150602590858,52396
2,2,0.4110667029098454,52396
3,2,0.431774474728852,52396
4,2,0.0853903385225681,52396
5,2,0.2409370327739245,52396
1,3,0.11261187668312296,3726
2,3,0.5617402759174225,3726
3,3,0.5675072236023889,3726
4,3,0.0853638369755314,3726
5,3,0.2140561695942647,3726
1,4,0.1276915162546754,167
2,4,0.4217706273676431,167
3,4,0.43684518338607864,167
4,4,0.07300918535725466,167
5,4,0.20057138125130863,167
1,5,0.1569192737351852,9
2,5,0.6664972974372176,9
3,5,0.6889922586252497,9
4,5,0.21346480924917965,9
5,5,0.31495929088117375,9
1,0,0.09958148738928649,8132241
2,0,0.09846066307423738,8132241
3,0,0.10537479297441958,8132241
4,0,0.04628649223590603,8132241
5,0,0.12386199148010107,8132241
